Date,Minimum Temp (C),Mean Temperature (C),Maximum Temp (C),Rain (mm),Relative Humidity %,CloudCover,Mean Wind SpeedKm/h
2000-1-1,  17,  22,  28,  0.00,  63,,  14
2000-1-2,  16,  22,  29,  0.00,  65,,  8
2000-1-3,  15,  21,  28,  0.00,  69,,  10
2000-1-4,  17,  23,  29,  0.00,  74,,  5
2000-1-5,  16,  22,  29,  0.00,  69,,  3
2000-1-6,  17,  23,  31,  0.00,  63,,  8
2000-1-7,  18,  23,  28,  0.00,  70,,  5
2000-1-8,  18,  21,  24,  0.00,  79,,  5
2000-1-9,  14,  21,  29,  0.00,  71,,  6
2000-1-10,  18,  23,  29,  0.00,  77,,  6
2000-1-11,  18,  24,  30,  0.00,  83,,  10
2000-1-12,  20,  24,  28,  0.00,  81,,  10
2000-1-13,  19,  24,  29,  0.00,  83,,  5
2000-1-14,  22,  23,  24,  0.00,  89,,  10
2000-1-15,  20,  23,  27,  0.00,  85,,  5
2000-1-16,  20,  25,  30,  0.00,  86,,  11
2000-1-17,  18,  22,  26,  0.00,  57,,  14
2000-1-18,  15,  22,  29,  0.00,  66,,  11
2000-1-19,  20,  26,  31,  0.00,  62,,  16
2000-1-20,  22,  27,  33,  0.00,  65,,  16
2000-1-21,  22,  26,  30,  0.00,  58,,  14
2000-1-22,  17,  20,  24,  0.00,  59,,  13
2000-1-23,  16,  21,  26,  0.00,  78,,  3
2000-1-24,  17,  20,  23,  0.00,  86,,  5
2000-1-25,  16,  21,  27,  0.00,  72,,  3
2000-1-26,  17,  23,  29,  0.00,  63,,  11
2000-1-27,  18,  24,  30,  0.00,  57,,  11
2000-1-28,  19,  24,  29,  0.00,  57,,  14
2000-1-29,  17,  20,  24,  0.00,  77,,  6
2000-1-30,  19,  24,  29,  0.00,  66,,  8
2000-1-31,  18,  23,  29,  0.00,  69,,  10
2000-2-1,  17,  23,  31,  0.00,  62,,  14
2000-2-2,  18,  20,  23,  0.00,  88,,  8
2000-2-3,  13,  20,  28,  0.00,  64,,  5
2000-2-4,  18,  24,  30,  0.00,  55,,  14
2000-2-5,  17,  23,  30,  0.00,  68,,  14
2000-2-6,  17,  19,  22,  0.00,  88,,  5
2000-2-7,  16,  23,  30,  0.00,  72,,  14
2000-2-8,  18,  23,  29,  0.00,  79,,  13
2000-2-9,  17,  22,  28,  0.00,  85,,  8
2000-2-10,  21,  26,  32,  0.00,  77,,  10
2000-2-11,  19,  22,  25,  0.00,  92,,  14
2000-2-12,  16,  20,  24,  0.00,  85,,  11
2000-2-13,  15,  18,  22,  0.00,  63,,  10
2000-2-14,  13,  16,  19,  0.00,  83,,  8
2000-2-15,  14,  18,  23,  0.00,  72,,  3
2000-2-16,  15,  20,  25,  0.00,  72,,  10
2000-2-17,  14,  20,  27,  0.00,  69,,  13
2000-2-18,  16,  21,  27,  0.00,  73,,  8
2000-2-19,  18,  21,  24,  0.00,  86,,  6
2000-2-20,  17,  20,  24,  0.00,  89,,  3
2000-2-21,  15,  21,  27,  0.00,  82,,  6
2000-2-22,  18,  22,  28,  0.00,  78,,  11
2000-2-23,  -,  -,  -,  -,  -,,  -
2000-2-24,  -,  -,  -,  -,  -,,  -
2000-2-25,  -,  -,  -,  -,  -,,  -
2000-2-26,  -,  -,  -,  -,  -,,  -
2000-2-27,  -,  -,  -,  -,  -,,  -
